Designator,Mid X,Mid Y,Rotation,Layer
C1,-6.576,18.288,0.0,top
C10,-7.62,40.132,180.0,top
C11,-4.744,32.43,0.0,top
C12,-4.744,34.462,0.0,top
C13,-2.7966,36.4998,0.0,top
C14,-4.744,33.446,0.0,top
C15,-13.126,37.51,180.0,top
C16,-4.744,24.302,0.0,top
C17,-4.744,35.478,0.0,top
C18,-14.912,38.526,90.0,top
C19,-21.0,30.144,180.0,top
C2,-32.492,37.084,180.0,top
C20,-13.38,22.3,270.0,top
C21,-16.936,38.046,90.0,top
C22,11.43,60.198,45.0,top
C23,-4.744,25.318,0.0,top
C24,-9.324,38.046,90.0,top
C25,-21.036,34.97,180.0,top
C26,-21.0,27.096,180.0,top
C27,-19.476,22.3,270.0,top
C28,-9.144,71.628,90.0,top
C29,-12.364,22.3,270.0,top
C3,-36.9798,33.7312,0.0,top
C30,-4.744,30.398,0.0,top
C31,-4.744,31.414,0.0,top
C32,-55.372,34.544,180.0,top
C33,-4.744,27.35,0.0,top
C34,-4.744,28.366,0.0,top
C35,-4.744,26.334,0.0,top
C36,-4.744,29.382,0.0,top
C37,11.938,-2.286,315.0,top
C38,25.908,25.4,0.0,top
C39,-19.304,-10.668,270.0,top
C4,-35.052,33.722,0.0,top
C40,-12.446,60.734,90.0,top
C41,11.0143,12.432,330.0,top
C42,-42.672,16.51,210.0,top
C43,11.684,21.082,270.0,top
C44,11.938,29.718,0.0,top
C45,11.938,32.766,180.0,top
C46,16.764,21.082,270.0,top
C47,11.684,40.894,0.0,top
C48,17.78,21.082,270.0,top
C49,11.684,41.91,0.0,top
C5,-36.858,32.766,0.0,top
C51,10.668,21.082,270.0,top
C52,12.7,21.082,270.0,top
C6,-39.878,27.94,180.0,top
C7,-3.81,40.132,180.0,top
C8,-27.94,-2.794,270.0,top
C9,-11.094,37.51,0.0,top
D1,-34.29,29.718,90.0,top
D10,5.725,65.507,150.0,top
D11,20.732,50.5,120.0,top
D12,26.225,30.0,90.0,top
D13,20.732,9.5,60.0,top
D15,12.446,31.242,180.0,top
D16,-0.508,-4.096,90.0,top
D17,-8.382,67.056,270.0,top
D2,5.725,-5.507,30.0,top
D3,-14.775,-11.0,0.0,top
D4,-35.275,-5.507,330.0,top
D5,-50.282,9.5,300.0,top
D6,-55.775,30.0,270.0,top
D7,-50.282,50.5,240.0,top
D8,-35.275,65.507,210.0,top
D9,-14.775,71.0,180.0,top
J3,-25.4,68.834,195.0,top
J5,-14.78,5.5,180.0,top
L1,14.732,21.082,180.0,top
MK1,-14.775,62.0,0.0,top
MK2,12.9378,14.0,240.0,top
MK3,-42.4878,14.0,120.0,top
Q1,-35.4815,26.416,180.0,top
R1,-11.348,22.27,90.0,top
R10,-6.604,19.304,0.0,top
R11,-6.606,17.272,180.0,top
R12,-6.604,20.32,180.0,top
R13,-3.6068,21.465,90.0,top
R14,-14.4018,20.318,270.0,top
R15,-3.9624,38.0492,90.0,top
R16,-22.098,-0.508,180.0,top
R17,-24.13,-0.508,0.0,top
R18,-30.736,48.7426,0.0,top
R19,-30.7574,46.2788,180.0,top
R2,-10.332,22.27,90.0,top
R20,-7.284,22.272,90.0,top
R21,-8.3,22.272,90.0,top
R22,-6.268,22.272,90.0,top
R23,-4.744,23.286,180.0,top
R24,-4.744,36.494,180.0,top
R25,-18.46,22.27,90.0,top
R26,-17.444,22.27,90.0,top
R27,-16.428,22.27,90.0,top
R28,-15.412,22.27,90.0,top
R29,-14.396,22.27,90.0,top
R3,-32.492,35.754,180.0,top
R30,-17.952,38.016,270.0,top
R31,-18.968,38.018,270.0,top
R32,-19.984,38.018,270.0,top
R33,-21.0,38.018,270.0,top
R34,-7.03,38.018,90.0,top
R35,-20.828,22.2992,270.0,top
R36,-30.7614,43.942,0.0,top
R37,-30.736,41.4274,180.0,top
R38,-30.8122,39.2938,0.0,top
R39,-12.446,63.244,270.0,top
R4,-34.796,31.678,180.0,top
R40,-17.016,63.244,270.0,top
R41,-17.018,60.704,90.0,top
R42,12.7663,11.431,150.0,top
R43,14.986,15.494,150.0,top
R44,13.1417,16.509,330.0,top
R45,-44.45,15.494,30.0,top
R46,-42.418,11.43,30.0,top
R47,-40.132,12.7,210.0,top
R48,-25.3473,61.6939,285.0,top
R49,-20.9311,62.8772,285.0,top
R5,-35.56,29.208,90.0,top
R50,-29.466,36.7538,180.0,top
R51,-4.998,38.02,270.0,top
R52,-6.014,38.02,90.0,top
R53,-6.096,46.482,180.0,top
R54,-6.096,47.498,180.0,top
R55,2.794,21.844,90.0,top
R56,0.762,21.844,90.0,top
R58,1.778,21.844,90.0,top
R6,-34.796,32.706,180.0,top
R7,-36.886,31.75,180.0,top
R8,-9.316,22.27,90.0,top
R9,-1.524,42.164,90.0,top
SW1,-29.775,30.0,270.0,top
SW2,-14.775,45.0,0.0,top
SW3,0.225,30.0,270.0,top
SW4,-14.775,15.0,180.0,top
U1,-3.876,42.7935,90.0,top
U10,-22.8763,61.3042,105.0,top
U11,14.4811,36.8334,0.0,top
U2,-35.768,35.917,0.0,top
U3,-38.608,29.9,180.0,top
U4,-4.1148,-5.4665,90.0,top
U5,-2.966,16.6,0.0,top
U7,-7.686,42.7935,90.0,top
U8,-13.044,30.316,270.0,top
U9,14.4811,25.6574,0.0,top
Y1,-12.11,39.796,180.0,top
